Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
HM135399,4/2/2002 15:00:00,084XX S ST LAWRENCE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,632,6,6,1181705,,2002,,,
HM132675,1/2/2002 09:00:00,069XX S CRANDON AVE,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,APARTMENT,TRUE,FALSE,331,5,11,1192521,,2002,,,
HM132072,11/1/2002 20:00:00,023XX S STATE ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,CHA APARTMENT,FALSE,FALSE,134,3,20,1176683,,2002,,,
HM130540,10/15/2002 09:00:00,016XX N DAMEN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,1434,32,11,1162762,,2002,,,
HM118164,12/30/2002 09:00:00,014XX S WABASH AVE,890,THEFT,FROM BUILDING,WAREHOUSE,FALSE,FALSE,132,2,6,1176994,1893627,2002,41.86345405,-87.62574023,"(41.863454049, -87.625740234)"
HM115374,12/1/2002 00:00:00,006XX E 45TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,222,3,6,1181279,,2002,,,
HM107478,1/10/2002 12:00:00,008XX W LELAND AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,FALSE,FALSE,2312,46,6,1169853,1931427,2002,41.96733781,-87.65084991,"(41.967337811, -87.650849912)"
HM107387,6/2/2002 12:00:00,077XX S WOOD ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE,TRUE,FALSE,611,17,11,1165694,,2002,,,
HL813550,12/28/2002 09:00:00,033XX W POTOMAC AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1422,26,6,1153885,,2002,,,
HL802159,10/24/2002 00:00:00,059XX N ELSTON AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1622,45,6,1135471,,2002,,,
HL802000,4/12/2002 12:00:00,058XX S LOWE AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,711,3,6,1172969,,2002,,,
HL800214,11/1/2002 00:01:00,015XX N GREENVIEW AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1433,1,6,1166110,,2002,,,
HL795011,10/6/2002 09:00:00,064XX S WASHTENAW AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,825,15,6,1159485,,2002,,,
HL789605,1/2/2002 08:30:00,046XX S LAKE PARK AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,FALSE,FALSE,2123,4,6,1185915,,2002,,,
HL779550,8/7/2002 23:59:00,028XX W 84TH PL,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,835,18,6,1158642,1848534,2002,41.74010822,-87.6943396,"(41.740108219, -87.694339604)"
HL775000,12/1/2002 12:00:00,016XX E 55TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2132,5,6,1187721,,2002,,,
HL765719,1/1/2002 01:30:00,054XX S SEELEY AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,915,16,6,1163615,1868644,2002,41.79519008,-87.67555558,"(41.795190075, -87.675555583)"
HL754048,8/12/2002 12:00:00,063XX N MILWAUKEE AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,FALSE,FALSE,1611,45,10,1132867,,2002,,,
HL748173,4/25/2002 09:00:00,096XX S CHARLES ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2213,19,6,1167137,,2002,,,
HL751843,11/1/2002 12:00:00,082XX S MARQUETTE AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,FALSE,FALSE,423,7,6,1195600,,2002,,,
HL749623,1/1/2002 00:00:00,075XX S COLES AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,FALSE,FALSE,421,7,6,1195976,,2002,,,
HL737415,1/13/2002 17:00:00,062XX S WESTERN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,825,15,6,1161443,1863220,2002,41.78035123,-87.68367066,"(41.780351225, -87.683670663)"
HL734987,2/1/2002 14:00:00,006XX E 89TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,633,6,6,1182056,,2002,,,
HL738342,1/2/2002 12:00:00,012XX W 63RD ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,TRUE,713,16,6,1168820,,2002,,,
HL734800,1/17/2002 12:00:00,038XX N KILBOURN AVE,1120,DECEPTIVE PRACTICE,FORGERY,GROCERY FOOD STORE,FALSE,FALSE,1731,38,10,1145442,,2002,,,
HL734428,8/9/2002 00:00:00,049XX S KARLOV AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,815,14,6,1149864,,2002,,,
HL709531,12/1/2002 09:00:00,048XX S CHICAGO BEACH DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,2132,4,6,1187888,,2002,,,
HL709592,11/1/2002 09:00:00,077XX S LAFLIN ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,612,17,26,1167457,,2002,,,
HL708553,11/1/2002 10:15:00,065XX S MAPLEWOOD AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,832,15,6,1160497,,2002,,,
HL698689,5/1/2002 09:00:00,059XX S CAMPBELL AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,824,16,6,1160722,,2002,,,
HL698873,9/25/2002 00:00:00,073XX S KEDZIE AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,835,18,2,1156360,,2002,,,
HL696599,12/1/2002 15:00:00,006XX N LARAMIE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,1532,28,6,1141579,,2002,,,
HL696705,1/2/2002 12:00:00,120XX S HARVARD AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,523,34,6,1176124,,2002,,,
HL694641,10/31/2002 09:00:00,050XX W 63RD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,TRUE,FALSE,813,13,11,1143988,,2002,,,
HL694428,12/1/2002 12:00:00,041XX N WESTERN AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,SMALL RETAIL STORE,FALSE,FALSE,1912,47,12,1159626,,2002,,,
HL690455,7/31/2002 09:00:00,061XX S ROCKWELL ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,825,15,6,1160092,1863902,2002,41.78225063,-87.68860494,"(41.782250631, -87.688604936)"
HL672169,7/7/2002 00:00:00,008XX E DREXEL SQUARE DR,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,FALSE,FALSE,2124,4,11,1182753,,2002,,,
HL683095,10/19/2002 00:00:00,002XX S WACKER DR,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,111,2,12,1173895,1899278,2002,41.8790303,-87.63694803,"(41.879030298, -87.636948032)"
HL680664,9/1/2002 00:01:00,047XX S INGLESIDE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2124,4,20,1183416,,2002,,,
HL678950,1/1/2002 00:00:00,048XX S KENWOOD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,TRUE,FALSE,2124,4,2,1185937,,2002,,,
HL679266,7/10/2002 10:00:00,110XX S NORMAL AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,2233,34,6,1174923,,2002,,,
HL668768,2/1/2002 09:00:00,015XX W 17TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1222,25,11,1166415,1891820,2002,41.85872818,-87.66462642,"(41.858728183, -87.664626422)"
HL668378,2/1/2002 00:00:00,003XX N FRANCISCO AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1331,27,6,1156997,,2002,,,
HL664903,1/1/2002 00:01:00,037XX S DR MARTIN LUTHER KING JR DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,212,3,6,1179469,1880335,2002,41.82692357,-87.61706176,"(41.826923566, -87.617061758)"
HL656708,6/6/2002 10:10:00,071XX W BERWYN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1613,41,6,1127743,1934689,2002,41.97710513,-87.80561203,"(41.977105129, -87.805612031)"
HL650939,1/1/2002 09:00:00,078XX S COLES AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,421,7,6,1197407,,2002,,,
HL650520,11/1/2002 00:01:00,033XX W POTOMAC AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,1422,26,6,1153939,,2002,,,
HL644121,3/6/2002 12:00:00,074XX S SOUTH SHORE DR,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,334,7,6,1195807,,2002,,,
HL642969,10/1/2002 09:00:00,071XX S JEFFERY BLVD,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,333,5,6,1190785,,2002,,,
HL640800,3/8/2002 00:00:00,033XX W POTOMAC AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,FALSE,FALSE,1422,26,6,1153770,,2002,,,
HL636290,7/2/2002 00:01:00,008XX N RUSH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,GOVERNMENT BUILDING/PROPERTY,TRUE,FALSE,1833,42,11,1176765,1906218,2002,41.89800964,-87.62620003,"(41.898009637, -87.626200032)"
HL624431,11/15/2002 00:00:00,040XX N KEYSTONE AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,FALSE,FALSE,1722,39,6,1148568,,2002,,,
HL620182,9/18/2002 15:00:00,030XX S PRINCETON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,2113,11,26,1174782,,2002,,,
HL615662,9/12/2002 00:00:00,077XX S ADA ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,FALSE,FALSE,612,17,6,1168785,,2002,,,
HL615936,1/1/2002 12:00:00,014XX W ELMDALE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2433,48,6,1165620,,2002,,,
HL613696,1/1/2002 00:01:00,084XX S MORGAN ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,FALSE,FALSE,613,21,6,1171122,,2002,,,
HL599003,9/26/2002 09:00:00,016XX N LINDER AVE,1576,SEX OFFENSE,BIGAMY,APARTMENT,FALSE,TRUE,2532,37,17,1139483,,2002,,,
HL599447,9/7/2002 00:00:00,007XX E 81ST ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,631,6,6,1182731,,2002,,,
HL595188,12/5/2002 00:01:00,056XX S SEELEY AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,715,15,6,1163655,1867291,2002,41.79147643,-87.67544687,"(41.791476432, -87.67544687)"
HL594918,4/9/2002 00:00:00,066XX S WOLCOTT AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,726,15,6,1164828,,2002,,,
HL584999,5/1/2002 00:00:00,051XX S SAWYER AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,822,14,6,1155581,,2002,,,
HL552636,8/30/2002 15:00:00,033XX N HAMLIN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,FALSE,FALSE,1732,30,6,1150471,,2002,,,
HL565687,8/22/2002 22:20:00,042XX S CHAMPLAIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,213,4,14,1181301,,2002,,,
HL556832,2/1/2002 09:00:00,068XX S HERMITAGE AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,FALSE,FALSE,725,17,6,1165857,,2002,,,
HL552548,11/1/2002 00:00:00,040XX N PARKSIDE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1624,38,6,1137958,,2002,,,
HL566727,8/23/2002 00:01:00,060XX S MEADE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,TRUE,FALSE,812,23,2,1136767,,2002,,,
HL567285,3/9/2002 09:00:00,045XX S INDIANA AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,221,3,6,1178359,,2002,,,
HL564276,8/26/2002 08:00:00,076XX S GREENWOOD AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,624,8,6,1184908,1854638,2002,41.75628274,-87.59791374,"(41.756282735, -87.597913741)"
HL564353,6/1/2002 00:00:00,024XX W 104TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2211,19,6,1161780,,2002,,,
HL551446,11/1/2002 00:00:00,079XX S RIDGELAND AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,414,8,6,1189361,,2002,,,
HL555181,11/1/2002 12:00:00,023XX W GLENLAKE AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2413,40,6,1159799,,2002,,,
HL555445,1/1/2002 00:00:00,018XX W WASHINGTON BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,1333,27,20,1164057,,2002,,,
HL550112,6/1/2002 09:00:00,070XX S ARTESIAN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,832,15,6,1161257,,2002,,,
HL521496,12/1/2002 11:00:00,054XX N SPAULDING AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1712,40,2,1153399,,2002,,,
